Titlu	Autor	communal_coef	aesthetic_coef	dark_coef	thrilling_coef	cerebral_coef	Link	Description
Zece negri mititei	Agatha Cristie	1	1	6	10	4	https://www.goodreads.com/book/show/16096587-zece-negri-mititei?from_search=true&from_srp=true&qid=BQeVAQ1r8p&rank=2	Zece straini sunt atrasi de un misterios U.N. Owen, intr-o casa de pe o insula izolata, din apropierea Devon-ului. "Noua... " In timpul cinei, un mesaj inregistrat ii acuza pe fiecare in parte de cate o crima, iar in final, in aceeasi seara, unul dintre oaspeti moare. "Opt... " Rupti de lume din cauza unei furtuni violente si urmariti de versurile unei vechi poezii pentru copii, care numara descrescator de la zece la zero, oaspetii lui U.N. Owen incep, unul cate unul, sa moara. "Sapte... " Care dintre ei este criminalul? Oare va supravietui cineva?
Pe culmile disperării	Emil M. Cioran	1	5	6	1	7	https://www.goodreads.com/book/show/10083514-pe-culmile-disper-rii?from_search=true&from_srp=true&qid=IpdGEuk2Pf&rank=2	„Dacă aş putea, aş aduce întreaga lume în agonie, pentru a realiza o purificare din rădăcini a vieţii; aş pune flăcări arzătoare şi insinuante la aceste rădăcini, nu pentru a le distruge, ci pentru a le da altă sevă şi altă căldură. Focul pe care l-aş pune eu acestei lumi n-ar aduce ruine, ci o transfigurare cosmică, esenţială.“ (Emil CIORAN)
Străinul	Stephen King	1	3	10	4	3	https://www.goodreads.com/book/show/48664979-str-inul?from_search=true&from_srp=true&qid=41JToIwLzB&rank=2	O crimă oribilă. O investigație încâlcită. Cadavrul unui băiețel de 11 ani e găsit într-un parc. Martorii oculari și probele îl indică, fără urmă de îndoială, drept autorul crimei pe unul dintre cei mai îndrăgiți cetățeni ai orașului Flint. Terry Maitland este antrenor de baseball, profesor de engleză, soț și tată a două fete. Detectivul Ralph Anderson îl arestează imediat, iar cazul pare rezolvat. Însă apar detalii noi, care cresc suspansul și tensiunea în întreaga comunitate. Terry Maitland pare un tip drăguț, dar dacă asta e numai o mască? Răspunsurile vor șoca cititorii, oricât de obișnuiți ar fi deja cu poveștile tulburătoare imaginate de maestrul Stephen King.
Throne of glass	Sarah J. Maas	6	1	5	9	1	https://www.goodreads.com/book/show/7896527-throne-of-glass?from_search=true&from_srp=true&qid=hPAmp3u6Kf&rank=1	In a land without magic, where the king rules with an iron hand, Celaena, an assassin, is summoned to the castle. She comes not to kill the king, but to win her freedom. If she defeats twenty-three killers, thieves, and warriors in a competition, she is released from prison to serve as the king’s champion. The Crown Prince will provoke her. The Captain of the Guard will protect her. But something evil dwells in the castle of glass—and it’s there to kill. When her competitors start dying one by one, Celaena’s fight for freedom becomes a fight for survival, and a desperate quest to root out the evil before it destroys her world.
Cerul e pretutindeni	Jandy Nelson	10	2	1	3	1	https://www.goodreads.com/book/show/25520923-cerul-e-pretutindeni?from_search=true&from_srp=true&qid=FIRE8bkRtZ&rank=1	Ar fi trebuit să mor de atâta suferință, nu să mă îndrăgostesc… Lennie este o tânără de 17 ani, cântă la clarinet și iubește foarte mult cărțile. Își duce viața, liniștită și mulțumită, în umbra expansivei sale surori mai mari, Bailey. Însă, când Bailey moare subit, Lennie e catapultată in mijlocul scenei propriei sale vieți - și, în pofida experienței sale nule în privința băieților, se trezește dintr-odată oscilând între doi. Toby este fostul iubit al lui Bailey; durerea pierderii din sufletul lui o oglindește perfect pe cea a lui Lennie. Joe este sosit recent în orașul lor, tocmai din Paris, și este posesor al unui zâmbet atât de magic precum talentul lui, fiind un foarte bun interpret la chitară clasică. Pentru Lennie, unul e soarele, iar celălalt luna. Unul încearcă să o scoată din suferința cruntă, iar celălalt o consolează în aceasta. Dar când cei doi se intersectează, universul lui Lennie e pe cale să explodeze…
The Lightning Thief	Rick Riordan	5	3	2	10	2	https://www.goodreads.com/book/show/28187.The_Lightning_Thief?from_search=true&from_srp=true&qid=2AdiOtb6Ml&rank=1	Percy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. And lately, being away at boarding school is only getting worse - Percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. When Percy's mom finds out, she knows it's time that he knew the truth about where he came from, and that he go to the one place he'll be safe. She sends Percy to Camp Half Blood, a summer camp for demigods (on Long Island), where he learns that the father he never knew is Poseidon, God of the Sea. Soon a mystery unfolds and together with his friends—one a satyr and the other the demigod daughter of Athena - Percy sets out on a quest across the United States to reach the gates of the Underworld (located in a recording studio in Hollywood) and prevent a catastrophic war between the gods.
Night School	C.J. Daugherty	7	2	6	8	1	https://www.goodreads.com/book/show/12576579-night-school?from_search=true&from_srp=true&qid=jeQZLRtjtz&rank=2	Allie Sheridan’s world is falling apart. Her brother’s run away from home. Her parents ignore her. And she’s just been arrested. Again. This time her parents have had enough. They cut her off from her friends and send her away to boarding school, far from her London friends. But at Cimmeria Academy, Allie is soon caught up in the strange activities of a secret group of elite students. When she’s attacked late one night the incident sets off a chain of increasingly violent events. As the school begins to seem like a very dangerous place, she finds out that nothing at Cimmeria is what it seems to be. And that she is not who she thought she was.
Îngeri căzuți	Susan Ee	7	2	1	9	1	https://www.goodreads.com/book/show/30584612-ngeri-c-zu-i?from_search=true&from_srp=true&qid=uZ0KdNpROQ&rank=1	Primul volum al trilogiei Penryn și Sfârșitul lumii. Au trecut șase săptămâni de când Îngerii Apocalipsei au coborât pe Pământ pentru a distruge lumea modernă. Bandele de răufăcători sunt stăpânii zilei, iar spaima și superstițiile cei ai nopții. Când îngerii războinici răpesc o fetiță neajutorată, sora ei Penryn, în vârstă de șaptesprezece ani, e hotărâtă să facă orice să o salveze. Orice, în afară de a încheia un pact cu un înger inamic. Împreună cu Raffe, un luptător rănit și fără aripi, pe care îl salvează, Penryn pornește într-o călătorie plină de pericole pentru a-și regăsi sora și în timpul căreia cei doi protagoniști trebuie să se sprijine unul pe celălalt ca să poată supraviețui. "Acțiune, ritm alert, scene terifiante: Îngeri căzuți e o carte pe care trebuie să o citiți." Entertainment Weekly. "Îngeri căzuți are tușe realiste, viziuni de coșmar, personaje bine construite, atmosferă și o scriitură puternică." Publishers Weekly. Susan Ee a mâncat mezze în cetatea veche a Ierusalimului, a făcut surf în apele calde ale Costa Ricăi și și-a prezentat filmul de scurt-metraj la un festival important. Toată viața a fost pasionată de science-fiction, fantasy și horror, mai ales dacă au un strop de romance. O vreme a fost avocat, dar adoră să fie scriitoare pentru că această meserie îi descătușează imaginația.
A court of thorns and roses	Sarah J. Maas	10	1	2	7	1	https://www.goodreads.com/book/show/16096824-a-court-of-thorns-and-roses?from_search=true&from_srp=true&qid=IeXZNDiUbf&rank=1	Feyre's survival rests upon her ability to hunt and kill – the forest where she lives is a cold, bleak place in the long winter months. So when she spots a deer in the forest being pursued by a wolf, she cannot resist fighting it for the flesh. But to do so, she must kill the predator and killing something so precious comes at a price ... Dragged to a magical kingdom for the murder of a faerie, Feyre discovers that her captor, his face obscured by a jewelled mask, is hiding far more than his piercing green eyes would suggest. Feyre's presence at the court is closely guarded, and as she begins to learn why, her feelings for him turn from hostility to passion and the faerie lands become an even more dangerous place. Feyre must fight to break an ancient curse, or she will lose him forever.
Efectele secundare ale vieții	Vlad Zografi	1	8	2	1	8	https://www.goodreads.com/book/show/32994405-efectele-secundare-ale-vie-ii?from_search=true&from_srp=true&qid=j9mUAVvNx9&rank=1	„Un roman polifonic de mare virtuozitate, în care cinci voci se îmbină şi conturează o secvenţă tensionată din prezent. Nu lipseşte din decor un detectiv improvizat (de meserie psihiatru), admirator al locotenentului Colombo, o jurnalistă de succes, un reputat om de ştiinţă, o femeie dezamăgită şi – miezul cărţii – un autist, care are partitura cea mai originală. Depăşind imediatul, se aude în carte şi un discurs de primire în Academia Română, care povesteşte idei, cu inteligenţă şi plasticitate. (Aici veţi găsi explicaţia «sentimentală» a titlului). Reuşita cea mare a unui romancier este ca realitatea să-i copieze cartea, nu invers. Vlad Zografi a scris un roman de actualitate românească şi nu rămâne decât ca fiecare cititor să-i verifice, pe pielea lui, credibilitatea. Sfatul criticului: nu citiţi această carte, ci ascultaţi-o aşa cum se ascultă muzica: este o simfonie contemporană.“ (Ioana PÂRVULESCU)
